Ratio_SBM,Experiment,F1-Score
0.0,Ground_Truth_Only,0.9843304843304843
0.0,Ground_Truth_Shuffled,0.9843304843304843
0.0,Structure_Only,0.9964813511611541
0.0,Embeddings_Only,0.9964813511611541
0.0,Inferred_Commu only,0.9843304843304843
0.0,Structure + Inferred_Commu,0.9964813511611541
0.0,Full_with_Embeddings,0.9964813511611541
0.05,Ground_Truth_Only,0.9601181683899557
0.05,Ground_Truth_Shuffled,0.9608277900960828
0.05,Structure_Only,0.9942857142857143
0.05,Embeddings_Only,0.9950106913756237
0.05,Inferred_Commu only,0.9608277900960828
0.05,Structure + Inferred_Commu,0.9964311206281228
0.05,Full_with_Embeddings,0.9957142857142857
0.1,Ground_Truth_Only,0.9186311787072243
0.1,Ground_Truth_Shuffled,0.9220183486238532
0.1,Structure_Only,0.9820014398848093
0.1,Embeddings_Only,0.9834413246940245
0.1,Inferred_Commu only,0.9204892966360856
0.1,Structure + Inferred_Commu,0.9849029475197699
0.1,Full_with_Embeddings,0.9827586206896551
0.15000000000000002,Ground_Truth_Only,0.9010819165378671
0.15000000000000002,Ground_Truth_Shuffled,0.9004665629860031
0.15000000000000002,Structure_Only,0.9813218390804598
0.15000000000000002,Embeddings_Only,0.9820273184759166
0.15000000000000002,Inferred_Commu only,0.9055472263868066
0.15000000000000002,Structure + Inferred_Commu,0.9834651329978433
0.15000000000000002,Full_with_Embeddings,0.9827586206896551
0.2,Ground_Truth_Only,0.8746130030959752
0.2,Ground_Truth_Shuffled,0.8737412858249419
0.2,Structure_Only,0.9709013484740951
0.2,Embeddings_Only,0.976711362032463
0.2,Inferred_Commu only,0.8892284186401833
0.2,Structure + Inferred_Commu,0.9801418439716312
0.2,Full_with_Embeddings,0.9808646350106307
0.25,Ground_Truth_Only,0.8492935635792779
0.25,Ground_Truth_Shuffled,0.8530120481927711
0.25,Structure_Only,0.9720430107526882
0.25,Embeddings_Only,0.9721627408993576
0.25,Inferred_Commu only,0.8656945510360706
0.25,Structure + Inferred_Commu,0.9755747126436781
0.25,Full_with_Embeddings,0.9763440860215054
0.30000000000000004,Ground_Truth_Only,0.7828894269572235
0.30000000000000004,Ground_Truth_Shuffled,0.7934959349593496
0.30000000000000004,Structure_Only,0.9536707056307911
0.30000000000000004,Embeddings_Only,0.958092485549133
0.30000000000000004,Inferred_Commu only,0.797427652733119
0.30000000000000004,Structure + Inferred_Commu,0.958963282937365
0.30000000000000004,Full_with_Embeddings,0.9617328519855596
0.35000000000000003,Ground_Truth_Only,0.7724028548770817
0.35000000000000003,Ground_Truth_Shuffled,0.77
0.35000000000000003,Structure_Only,0.9593147751605996
0.35000000000000003,Embeddings_Only,0.95908111988514
0.35000000000000003,Inferred_Commu only,0.7925142392188771
0.35000000000000003,Structure + Inferred_Commu,0.9591397849462365
0.35000000000000003,Full_with_Embeddings,0.9605168700646087
0.4,Ground_Truth_Only,0.7792998477929984
0.4,Ground_Truth_Shuffled,0.7689848121502798
0.4,Structure_Only,0.9468531468531468
0.4,Embeddings_Only,0.9586545199719692
0.4,Inferred_Commu only,0.8009478672985783
0.4,Structure + Inferred_Commu,0.9565826330532213
0.4,Full_with_Embeddings,0.9581589958158996
0.45,Ground_Truth_Only,0.7686676427525623
0.45,Ground_Truth_Shuffled,0.7497949138638228
0.45,Structure_Only,0.9466089466089466
0.45,Embeddings_Only,0.9538239538239538
0.45,Inferred_Commu only,0.77662129703763
0.45,Structure + Inferred_Commu,0.9501805054151624
0.45,Full_with_Embeddings,0.9510086455331412
0.5,Ground_Truth_Only,0.7591036414565826
0.5,Ground_Truth_Shuffled,0.6791489361702128
0.5,Structure_Only,0.9522431259044862
0.5,Embeddings_Only,0.9570284049526584
0.5,Inferred_Commu only,0.7735849056603774
0.5,Structure + Inferred_Commu,0.9547738693467337
0.5,Full_with_Embeddings,0.9617880317231434
0.55,Ground_Truth_Only,0.7668982943777637
0.55,Ground_Truth_Shuffled,0.6726530612244898
0.55,Structure_Only,0.9429386590584878
0.55,Embeddings_Only,0.9521770164168452
0.55,Inferred_Commu only,0.7891891891891892
0.55,Structure + Inferred_Commu,0.9405869720830351
0.55,Full_with_Embeddings,0.9438521677327647
0.6000000000000001,Ground_Truth_Only,0.7691326530612245
0.6000000000000001,Ground_Truth_Shuffled,0.6777513855898654
0.6000000000000001,Structure_Only,0.948644793152639
0.6000000000000001,Embeddings_Only,0.9551601423487545
0.6000000000000001,Inferred_Commu only,0.768621236133122
0.6000000000000001,Structure + Inferred_Commu,0.9480427046263346
0.6000000000000001,Full_with_Embeddings,0.9552238805970149
