iteration,sbm_val,SHAP_GT_pos_dist,SHAP_GT_sbm_density
1,1.0,0.39291847,2.2566953
1,0.9,0.4524097,1.6954601
1,0.8,0.701052,1.4584237
1,0.7,0.92749304,1.3470316
1,0.6,0.9007419,1.2899773
1,0.5,1.063745,0.98675066
1,0.4,1.0808735,0.79894227
1,0.3,1.4422154,0.7371289
1,0.2,1.5498091,0.6725875
1,0.1,1.8406863,0.29825503
1,0.0,2.0707712,0.2276737
2,1.0,0.26745707,2.1002655
2,0.9,0.4366604,1.8503299
2,0.8,0.6493943,1.34707
2,0.7,0.77121776,1.4787153
2,0.6,0.95336163,1.2045232
2,0.5,1.1223481,1.0680685
2,0.4,1.0195462,0.8914954
2,0.3,1.4473898,0.8040896
2,0.2,1.6776412,0.4706968
2,0.1,1.9544028,0.42552504
2,0.0,2.2050478,0.20473142
3,1.0,0.33733052,2.0363848
3,0.9,0.4544117,1.754022
3,0.8,0.55945104,1.5599066
3,0.7,0.8257366,1.3023553
3,0.6,0.89590144,1.2525721
3,0.5,1.3113424,1.1330466
3,0.4,1.1578357,0.8131347
3,0.3,1.4521902,0.77497
3,0.2,1.4172474,0.5650744
3,0.1,1.7004666,0.36348557
3,0.0,2.0824015,0.26323158
4,1.0,0.28747678,2.1961381
4,0.9,0.4652585,1.8013644
4,0.8,0.73286325,1.5384052
4,0.7,0.9234052,1.3442774
4,0.6,1.0240899,1.1027876
4,0.5,1.2872143,1.041788
4,0.4,1.1534852,0.9610661
4,0.3,1.2607831,0.6696451
4,0.2,1.5146683,0.62871164
4,0.1,1.9830128,0.51627475
4,0.0,1.9392916,0.22069634
5,1.0,0.24966918,2.1293838
5,0.9,0.4077323,1.7615503
5,0.8,0.64772743,1.5526448
5,0.7,0.7579325,1.5300398
5,0.6,0.84948146,1.0762186
5,0.5,1.0319968,0.9648782
5,0.4,1.146937,0.9852841
5,0.3,1.4867805,0.739564
5,0.2,1.4487327,0.49245143
5,0.1,1.8546581,0.37057602
5,0.0,2.11272,0.20383374
6,1.0,0.31330785,2.2207723
6,0.9,0.45904434,1.7557254
6,0.8,0.75199056,1.4553487
6,0.7,0.84059495,1.4021598
6,0.6,0.8501306,1.1288972
6,0.5,0.93260586,0.92468333
6,0.4,1.2830145,0.8600719
6,0.3,1.395911,0.7529809
6,0.2,1.5919027,0.6842153
6,0.1,2.119437,0.43555704
6,0.0,2.307156,0.21768712
7,1.0,0.31174305,2.2625136
7,0.9,0.5243766,1.7964271
7,0.8,0.61684996,1.5344069
7,0.7,0.80759,1.3138474
7,0.6,0.91800016,1.1260577
7,0.5,1.1019229,1.0720412
7,0.4,1.2913804,0.85093504
7,0.3,1.4121882,0.7794386
7,0.2,1.6164957,0.6118254
7,0.1,1.9289826,0.5094266
7,0.0,2.517435,0.20656781
8,1.0,0.3356309,2.1614656
8,0.9,0.4617711,1.6926194
8,0.8,0.6198329,1.5131549
8,0.7,0.7961362,1.3202262
8,0.6,0.92202127,1.0949395
8,0.5,1.1753566,1.1237824
8,0.4,1.2941915,0.8223445
8,0.3,1.2272996,0.68586767
8,0.2,1.5568795,0.69992876
8,0.1,1.8154814,0.3432485
8,0.0,2.0340197,0.25255814
9,1.0,0.31732973,2.559576
9,0.9,0.47357145,1.8590124
9,0.8,0.5823394,1.7318667
9,0.7,0.9404335,1.349001
9,0.6,0.8686445,0.9553868
9,0.5,1.0808884,1.1051778
9,0.4,1.2689588,0.97352636
9,0.3,1.3703178,0.66807735
9,0.2,1.582991,0.511377
9,0.1,1.7354642,0.3992115
9,0.0,2.0476956,0.2915999
10,1.0,0.354243,2.345035
10,0.9,0.560777,1.7232122
10,0.8,0.7796693,1.4732558
10,0.7,0.78320235,1.3425336
10,0.6,1.0967778,1.211983
10,0.5,1.015803,1.0706007
10,0.4,1.1315384,0.8550933
10,0.3,1.4834387,0.77498585
10,0.2,1.5882384,0.5708985
10,0.1,1.7930543,0.4968463
10,0.0,2.3270638,0.22821862
