iteration,sbm_val,SHAP_GT_pos_dist,SHAP_GT_sbm_density
1,1.0,0.86147714,1.4310924
1,0.9,0.86147714,1.4310924
1,0.8,1.0472269,1.4699686
1,0.7,1.2057642,1.4147357
1,0.6,1.1620313,1.2824048
1,0.5,1.2763314,1.2215908
1,0.4,1.2958589,1.1546984
1,0.3,1.382664,1.0243016
1,0.2,1.4652313,1.0547519
1,0.1,1.436099,0.8073305
1,0.0,2.2973287,0.22218864
2,1.0,0.7407463,1.5188096
2,0.9,0.7407463,1.5188096
2,0.8,1.0163506,1.2462428
2,0.7,1.0666858,1.3547512
2,0.6,1.2274123,1.1526343
2,0.5,1.1930549,1.1802089
2,0.4,1.3700994,1.1910983
2,0.3,1.3194522,0.99934584
2,0.2,1.6357481,0.90108645
2,0.1,1.5479399,0.9318811
2,0.0,2.274642,0.26131734
3,1.0,0.8765299,1.4952295
3,0.9,0.8765299,1.4952295
3,0.8,1.0290173,1.5636938
3,0.7,1.2359179,1.343243
3,0.6,1.1694156,1.2790074
3,0.5,1.2398074,1.2589775
3,0.4,1.4106454,1.1763784
3,0.3,1.3004643,1.0222759
3,0.2,1.407334,0.9693292
3,0.1,1.6051804,0.8213319
3,0.0,2.3023214,0.2681018
4,1.0,0.91757596,1.628392
4,0.9,0.91757596,1.628392
4,0.8,1.0524118,1.3594168
4,0.7,1.0721151,1.3150126
4,0.6,1.2463197,1.3041402
4,0.5,1.1090019,1.1081297
4,0.4,1.2813939,1.0199798
4,0.3,1.4166837,1.1130601
4,0.2,1.624319,0.9963697
4,0.1,1.5416027,1.0074912
4,0.0,2.3282192,0.23315968
5,1.0,0.894456,1.4569917
5,0.9,0.894456,1.4569917
5,0.8,1.052058,1.4858326
5,0.7,1.1462501,1.3254364
5,0.6,1.065461,1.1462374
5,0.5,1.2273822,1.1056949
5,0.4,1.4510738,1.129715
5,0.3,1.3756242,1.1323817
5,0.2,1.488343,0.9665836
5,0.1,1.5444907,0.8162516
5,0.0,2.2806544,0.22993302
6,1.0,0.8270627,1.6223676
6,0.9,0.8270627,1.6223676
6,0.8,0.91458255,1.3906088
6,0.7,1.0904019,1.209732
6,0.6,1.264183,1.309617
6,0.5,1.3194963,1.2511796
6,0.4,1.2529507,1.1322248
6,0.3,1.3616447,1.1739674
6,0.2,1.5024825,0.94327784
6,0.1,1.475117,0.73549265
6,0.0,2.475261,0.24996346
7,1.0,0.8725112,1.3575358
7,0.9,0.8725112,1.3575358
7,0.8,0.96346736,1.3782401
7,0.7,1.0540127,1.3952397
7,0.6,1.2620872,1.4107028
7,0.5,1.2827885,1.160336
7,0.4,1.2632704,1.2267338
7,0.3,1.3961335,0.9716838
7,0.2,1.4276197,0.78222007
7,0.1,1.4168394,0.802446
7,0.0,2.2272239,0.21032187
8,1.0,0.8853314,1.41128
8,0.9,0.8853314,1.41128
8,0.8,0.94475913,1.4779253
8,0.7,1.1720651,1.2022897
8,0.6,1.2013705,1.2723091
8,0.5,1.2221639,1.1587988
8,0.4,1.3452841,1.0212876
8,0.3,1.3543545,1.0604887
8,0.2,1.4625051,0.85039526
8,0.1,1.4884552,0.9181418
8,0.0,2.2024245,0.23512822
9,1.0,0.9651726,1.3015097
9,0.9,0.9651726,1.3015097
9,0.8,1.0994518,1.4665027
9,0.7,1.1932213,1.2962234
9,0.6,1.1902852,1.293961
9,0.5,1.3193334,1.2974087
9,0.4,1.4478184,1.2845145
9,0.3,1.3086034,1.057
9,0.2,1.5272646,0.9763179
9,0.1,1.5269607,0.81194156
9,0.0,2.2091024,0.26266006
10,1.0,1.0101358,1.5110184
10,0.9,1.0101358,1.5110184
10,0.8,0.9417017,1.2552887
10,0.7,1.1839155,1.2041073
10,0.6,1.2136588,1.205945
10,0.5,1.3411039,1.3347133
10,0.4,1.3069072,1.1446697
10,0.3,1.3822429,1.1221313
10,0.2,1.5333946,0.94686675
10,0.1,1.521178,0.69257337
10,0.0,2.0008652,0.2437657
