Trial,Avg_AUC,Std_AUC,Avg_AP,Delta_AUC,Params
13,0.9895758970709838,0.0,0.8799503431473252,-0.0010762505147123846,"{'learning_rate': 0.055167808260940365, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7849284475938779, 'colsample_bytree': 0.6032464263935061, 'reg_alpha': 0.006454660057855308, 'reg_lambda': 0.08435258722507846}"
7,0.9895314908868645,0.0,0.8819687591193418,-0.0008223010228738392,"{'learning_rate': 0.04323399084244527, 'max_depth': 4, 'min_child_weight': 14, 'subsample': 0.6359685885153268, 'colsample_bytree': 0.6277799997517348, 'reg_alpha': 0.01355916584414913, 'reg_lambda': 0.7648732318288007}"
27,0.9894881639263297,0.0,0.8802237644758546,-0.00038791999642784347,"{'learning_rate': 0.038941278255075894, 'max_depth': 4, 'min_child_weight': 12, 'subsample': 0.7421409916051765, 'colsample_bytree': 0.7770705565417715, 'reg_alpha': 0.00212246630049917, 'reg_lambda': 0.4982841025066315}"
19,0.9894665592822389,0.0,0.8790646651361739,-0.0007009305518658193,"{'learning_rate': 0.07125792647379132, 'max_depth': 3, 'min_child_weight': 13, 'subsample': 0.636682937785803, 'colsample_bytree': 0.8037833470652422, 'reg_alpha': 0.012964347809330925, 'reg_lambda': 2.6450450493025945}"
14,0.9894390004170645,0.0,0.8786791809111276,-0.0006406436851178476,"{'learning_rate': 0.05916259374500279, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.7766187502913309, 'colsample_bytree': 0.7129257861883848, 'reg_alpha': 0.004035252391950922, 'reg_lambda': 0.1848977014335734}"
28,0.9894087888808367,0.0,0.8795791448488772,0.001575779667857491,"{'learning_rate': 0.038172280011866226, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.8066209488883848, 'colsample_bytree': 0.7005432622202136, 'reg_alpha': 0.0016596586837720319, 'reg_lambda': 0.17227644718515164}"
22,0.9893432050351664,0.0,0.8793330349479307,-0.0009763159613664918,"{'learning_rate': 0.0687112222392888, 'max_depth': 3, 'min_child_weight': 14, 'subsample': 0.6557055062141938, 'colsample_bytree': 0.8408277173922594, 'reg_alpha': 0.011443769751705541, 'reg_lambda': 3.396884316238628}"
11,0.9893386023651135,0.0,0.8792348949156455,-0.0023739948605197014,"{'learning_rate': 0.044252903236874225, 'max_depth': 3, 'min_child_weight': 15, 'subsample': 0.6929546988717878, 'colsample_bytree': 0.6133411520998732, 'reg_alpha': 0.17348129595589035, 'reg_lambda': 0.023303699171623254}"
17,0.9892978944549593,0.0,0.8779959610908193,0.0006846038899523954,"{'learning_rate': 0.033126510043038564, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7324222951686441, 'colsample_bytree': 0.6610462382718489, 'reg_alpha': 0.0030243025187957472, 'reg_lambda': 0.35157659297809296}"
21,0.9892889648043672,0.0,0.8793554565023755,-0.0005088759505293972,"{'learning_rate': 0.07181232484375341, 'max_depth': 3, 'min_child_weight': 13, 'subsample': 0.636830850219986, 'colsample_bytree': 0.8116747490335294, 'reg_alpha': 0.01155259080840476, 'reg_lambda': 2.6316227587953107}"
23,0.9892663246435662,0.0,0.8805350767806397,-0.0014763454390459563,"{'learning_rate': 0.04680774789363774, 'max_depth': 3, 'min_child_weight': 11, 'subsample': 0.7362956730469911, 'colsample_bytree': 0.7695631348110734, 'reg_alpha': 0.0023826554316240564, 'reg_lambda': 0.4431220714606932}"
5,0.9892473491360579,0.0,0.8761201238123542,0.002306747377206708,"{'learning_rate': 0.055276846545777206, 'max_depth': 5, 'min_child_weight': 13, 'subsample': 0.7010095582110127, 'colsample_bytree': 0.6476368086277737, 'reg_alpha': 0.43080290641555435, 'reg_lambda': 0.013247946876454787}"
26,0.9892000448499769,0.0,0.8790664753945255,-0.002227307906019993,"{'learning_rate': 0.04741409331433475, 'max_depth': 3, 'min_child_weight': 14, 'subsample': 0.6735476632065067, 'colsample_bytree': 0.6318926215626898, 'reg_alpha': 0.015664717175745056, 'reg_lambda': 2.8298154887549827}"
24,0.9891663535741549,0.0,0.8792685458960716,5.646267855652365e-05,"{'learning_rate': 0.03379061171283798, 'max_depth': 5, 'min_child_weight': 12, 'subsample': 0.6516204194666761, 'colsample_bytree': 0.7307934435024599, 'reg_alpha': 0.04053035450571669, 'reg_lambda': 1.6165244551959292}"
16,0.989068540951912,0.0,0.8766406567093905,0.0029748403529002987,"{'learning_rate': 0.059706799761173775, 'max_depth': 5, 'min_child_weight': 13, 'subsample': 0.7608557153264777, 'colsample_bytree': 0.8049388340045913, 'reg_alpha': 0.022097640338753558, 'reg_lambda': 0.005419840725813067}"
15,0.989050570702509,0.0,0.8768059061878452,0.0011393918693652916,"{'learning_rate': 0.028262878173456726, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.9325648190127569, 'colsample_bytree': 0.6410698822585869, 'reg_alpha': 0.0051769009010314716, 'reg_lambda': 0.250225722021516}"
12,0.9889792612563273,0.0,0.879700203708076,-0.0026957279029662384,"{'learning_rate': 0.03765610883311796, 'max_depth': 3, 'min_child_weight': 15, 'subsample': 0.6577350266088561, 'colsample_bytree': 0.6815225699766183, 'reg_alpha': 0.09693221966771602, 'reg_lambda': 0.11799863594003276}"
